train dataset: size=96000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
val dataset: size=5500
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 242/1000, train: loss=0.0029, val: psnr=41.3740, 4.2m 17.1h/70.7h
epoch 243/1000, train: loss=0.0029, val: psnr=41.8334, 4.2m 17.2h/70.7h
epoch 244/1000, train: loss=0.0029, val: psnr=41.6198, 4.2m 17.3h/70.7h
epoch 245/1000, train: loss=0.0029, val: psnr=41.6347, 4.2m 17.3h/70.7h
epoch 246/1000, train: loss=0.0029, val: psnr=41.5695, 4.2m 17.4h/70.7h
epoch 247/1000, train: loss=0.0029, val: psnr=41.6195, 4.2m 17.5h/70.7h
epoch 248/1000, train: loss=0.0029, val: psnr=41.5017, 4.2m 17.5h/70.7h
epoch 249/1000, train: loss=0.0029, val: psnr=41.7242, 4.2m 17.6h/70.7h
epoch 250/1000, train: loss=0.0029, val: psnr=41.5554, 4.2m 17.7h/70.7h
epoch 251/1000, train: loss=0.0029, val: psnr=41.4750, 4.2m 17.7h/70.7h
epoch 252/1000, train: loss=0.0029, val: psnr=41.6081, 4.2m 17.8h/70.7h
epoch 253/1000, train: loss=0.0029, val: psnr=41.4656, 4.2m 17.9h/70.7h
epoch 254/1000, train: loss=0.0029, val: psnr=41.9174, 4.2m 18.0h/70.7h
epoch 255/1000, train: loss=0.0029, val: psnr=41.7939, 4.2m 18.0h/70.7h
epoch 256/1000, train: loss=0.0029, val: psnr=41.7324, 4.2m 18.1h/70.7h
epoch 257/1000, train: loss=0.0029, val: psnr=41.3697, 4.2m 18.2h/70.7h
epoch 258/1000, train: loss=0.0029, val: psnr=41.4103, 4.2m 18.2h/70.7h
epoch 259/1000, train: loss=0.0029, val: psnr=41.5485, 4.2m 18.3h/70.7h
epoch 260/1000, train: loss=0.0029, val: psnr=41.7317, 4.2m 18.4h/70.7h
epoch 261/1000, train: loss=0.0028, val: psnr=41.7306, 4.2m 18.4h/70.7h
epoch 262/1000, train: loss=0.0029, val: psnr=41.6052, 4.2m 18.5h/70.7h
epoch 263/1000, train: loss=0.0029, val: psnr=41.5731, 4.2m 18.6h/70.7h
epoch 264/1000, train: loss=0.0029, val: psnr=41.8140, 4.2m 18.7h/70.7h
epoch 265/1000, train: loss=0.0028, val: psnr=41.5067, 4.2m 18.7h/70.7h
epoch 266/1000, train: loss=0.0029, val: psnr=41.7729, 4.2m 18.8h/70.7h
epoch 267/1000, train: loss=0.0029, val: psnr=41.6948, 4.2m 18.9h/70.7h
epoch 268/1000, train: loss=0.0029, val: psnr=41.8483, 4.2m 18.9h/70.7h
epoch 269/1000, train: loss=0.0029, val: psnr=41.6636, 4.2m 19.0h/70.7h
epoch 270/1000, train: loss=0.0028, val: psnr=41.8149, 4.2m 19.1h/70.7h
epoch 271/1000, train: loss=0.0029, val: psnr=41.7638, 4.2m 19.2h/70.7h
epoch 272/1000, train: loss=0.0029, val: psnr=41.5853, 4.2m 19.2h/70.7h
epoch 273/1000, train: loss=0.0029, val: psnr=41.4952, 4.2m 19.3h/70.7h
epoch 274/1000, train: loss=0.0029, val: psnr=41.7415, 4.2m 19.4h/70.7h
epoch 275/1000, train: loss=0.0029, val: psnr=41.7905, 4.2m 19.4h/70.7h
epoch 276/1000, train: loss=0.0029, val: psnr=41.6327, 4.2m 19.5h/70.7h
epoch 277/1000, train: loss=0.0029, val: psnr=41.5857, 4.2m 19.6h/70.7h
epoch 278/1000, train: loss=0.0028, val: psnr=41.7951, 4.2m 19.6h/70.7h
epoch 279/1000, train: loss=0.0029, val: psnr=41.7818, 4.2m 19.7h/70.7h
epoch 280/1000, train: loss=0.0029, val: psnr=41.6326, 4.2m 19.8h/70.6h
